2025-01-01 23:08:54,475 - INFO - Episode 1670/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:25, Epsilon: 0.59
2025-01-01 23:08:57,456 - INFO - Episode 1680/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:17, Epsilon: 0.58
2025-01-01 23:09:00,666 - INFO - Episode 1690/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:30, Epsilon: 0.58
2025-01-01 23:09:04,046 - INFO - Episode 1700/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:30, Epsilon: 0.58
2025-01-01 23:09:07,354 - INFO - Episode 1710/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:29, Epsilon: 0.58
2025-01-01 23:09:10,566 - INFO - Episode 1720/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:38, Epsilon: 0.57
2025-01-01 23:09:13,893 - INFO - Episode 1730/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:32, Epsilon: 0.57
2025-01-01 23:09:16,866 - INFO - Episode 1740/10000, Total Reward: 3, Total Clear Lines:3, Total Blocks:34, Epsilon: 0.57
2025-01-01 23:09:20,083 - INFO - Episode 1750/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:28, Epsilon: 0.57
2025-01-01 23:09:23,494 - INFO - Episode 1760/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:29, Epsilon: 0.56
2025-01-01 23:09:26,493 - INFO - Episode 1770/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:34, Epsilon: 0.56
2025-01-01 23:09:29,384 - INFO - Episode 1780/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:36, Epsilon: 0.56
2025-01-01 23:09:32,273 - INFO - Episode 1790/10000, Total Reward: 3, Total Clear Lines:3, Total Blocks:33, Epsilon: 0.56
2025-01-01 23:09:35,244 - INFO - Episode 1800/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.55
